리뷰,평점,긍정부정,리뷰길이
이틀 머리 안감아도 떡 지지 않는 사람입니 다 비듬도그닥 많이 없는 편인데 한 번씩 머리에 뭐가 올라와서 찾아보다가 제품이 좋다 길래 구매했습니다 대용량 괜히 주문했어요 저머리 감고 진짜 바짝 말렸는데 말리면서도 덜 씻긴 듯한 느낌 계 속 두피가 젖은 듯한 느낌이예요 그뿐만 아니라 바꾸고 나서 갑자기 머리에 뭐가 더 많이 나고 비듬도 생겼어요 미치겠네요 샴푸 갑자기 바꿔서 그런가보다 하고 몇 주째 하는데 심해지기만 합니다 좋은 점은 딱 하나 있어요 이상하게 머리에 볼륨감이 좀 올라 오네요,1,n,264
상품이다 터져서 내용물이 새서 와서 교환 요청해서 받았는데 오늘 껀더 터져서 왔어요 상담해주신 직원분이 제품이상 없는 걸로 확인 후에 보내신다고까지 했는데 뜯어보고 어이가 없네요 제품 빨리 받아서 가지고 이동해야 하는 상황이라 서둘러 교환받았던 건데 시간이 촉박해서 다 터져서 온 거 덜어서라도 그냥 써야 하는 상황이라 그냥 쓰겠지만 후기 보니까 샴푸 터져서 왔다는 글이 한두 개가 아닌데 포장 이런 식으로 해서 보내지 마세요 안달로우 제품 좋아서 계속 쓰고 있던 건데 배송이계 속 이런 식이고 교환응대도 이런 데 어떻게 시켜서 씁니까,1,n,287
두 달 넘게 쓰다가 일부러 찾아 한 달 후 기남깁니 다 두피 유분기가 좀 있는 타입인데 처음엔 기름도 덜지는 것 같고 세정이 잘 되나 싶었는데 두 달 지나고 세상 없던 비듬에 두피 가려움 딱지 등이 생겨서 반절 이상 남은거 못 쓰겠네요 남편도 요즘 두피가 자꾸 가렵다고 하더니 같이 쓴 샴푸 탓인거 같네요 잘 맞는 분도 있겠으나 참고하세요,1,n,177
판매자분이 실수로 세트 상품 보내주셔서 오랜 기다림 끝에나 받게 되었습니다 처음엔 온라인 문의로 몇 번 교환 언제되냐고 물어봤었는데 돌아오는 답변은 확인 중이니 기다려달라는 말만 하시고 배송 안보내시길래 직접 전화 드려서 교환 못해 주시는 거면 환불해달라고 요청했는데 시간 내로 전화주신다더니 전화도 안주시고 다시 몇 번 전화 거니까 전화 안 받으시고 네이버 고객센터에 판매자와 연락 안 되고 교환상품 못 받았으니 환불해줬으면 좋겠다고 직접 문의하니 그제서야 발송했다 는 답변 받았습니다 그냥 마냥 기다리라는 주먹구구식의 서비스며 전화는 주신 대놓고 왜 안 주셨는지 또 전화는 왜 안 받으셨는지 서비스가 아주 별로였어요 반품 신청하려고 했는데 느낌에 그냥 환불은 안 해주실 것 같아서 걍쓰려 구요 다 신여기서 구매 안 하려 구요차라리 쿠팡 로켓배송을 시킬 걸,1,n,434
"샴푸 깨진 거상자에다 세서와 서 여기 전화했엇는 대교환이나 반품 처리하면 바꿔주겠다고 해서 교환신청 넣고 한 달 넘게 기다렸더니 하는 말이가관임""재고 없음""진짜 개별로 임어의 가 없어서 웃기내",1,n,112
뚜껑이 다 깨져서 왔어요 …삼 만 원이 넘고 크기도 큰데 저 상태로 어떻게 끝까지 쓰나 싶어요 진짜 실망스럽네요 짤 때마다 손 베일 거 같아요,1,n,76
용기 불량으로 별 하나요 태어나서 처음으로 이벤트가 많았던 물건이라 그런지 참향이 남성스럽네요 신랑 써보라고 구입했는데 재구매는 없을 것 같네요,1,n,77
다른 곳보다 천원 더 비싸게 샀어요 안 그래도 제품 가격이 비싼데 속상해요,1,n,49
제품이 찌그러져서 왔어요 완충제 잘 넣어서 온 거 보면 포장 전부터 문제 있던 제품 같은데 그냥 넣어 보냈나 봐요,1,n,56
위노즐 보분이 깨져서 왔네요,1,n,15
같은 제품을 오래 사용했는데 이번에 구입한 제품은 질이 많이 떨어졌다 물을 섞은 것같이 묽어지고 세정력이 떨어지고 머리결도 많이 나빠졌다 많이 실망했다,1,n,87
알러지 프리 아닌 듯해요 정말 간지럽고 트러블 올라와서 힘들어서 혼났네요 알러지상관 없으신 엄마드렸어요,1,n,59
가려움도 여전하고 머리 빠짐에 아쉬운 제품,1,n,23
아주 뛰어난 효과를 기대했던 건 아니지만 별루인 듯,1,n,25
배송 중에 상품이 깨져서 왔네요 펌프 부분이요 다시 반품하기 번 거러워서 그냥 쓰겠습니다다음부턴 세심하게 관리해서 보내주셨음 좋겠네요,1,n,78
그닥 좋은지 모르겠어 요 약간 싼 제퓸 냄새,1,n,20
아니 몇 주 전에 구매한 제품도 유통기한이 년월인데 이 상품은 유통기한이 년월이 네 여,1,n,55
배송포장이 뽁뽁이도 없이 본품만 배송 뚜껑이 깨지고 샴푸가 세어나오고 고객센터에 얘기하고 새 상품 받았는데도 똑같이 뽁뽁이도 없이 깨진 상태급해서 그냥 사용 포장 상태 정말 불량이에요,1,n,102
샴푸를 개시켰는데 개나 뚜껑이 열려 샴푸가 새어 나와 박스도 케이스도 엉망이네요 개나 열린 걸 보면 배송 문제는 아닌 것 같고 꼼꼼하게 검수 후 배송하셔야겠어요 더운 날씨에 불쾌지수 더 상승하네요,1,n,106
포장엉망진창 다흘렷음불만족 다신안 삼,1,n,20
도착했는데 포장은 찢어지고 내용물은 새고,1,n,20
아직은 안 써봤는데 좋은 제품이라 생각하고 써봐야겠네요,1,n,28
샴푸가 잘 안 팔리는 거 같네요 유통기한 년도 안 남은 샴푸를 보내 신거 보면 요 재구매는 안 하려 구요,1,n,56
상품설명을 이해 못한 건 저뿐인 가요 최악의 응대 교환도 번거롭고 그냥 써야겠네요 안내를 잘못한 부분은 문자로 띠릭 몇 일까지만 교환 가능합니다,1,n,83
년월제조된 재고 떨이 상품받은 기분입니다뽁뽁이로 한 번 싸는 성의도 없이 박스에 비누랑 섞어서 다 찌그러진 채 받앗는데다행히 파손은 안 됐네요,1,n,66
포장이 너무 엉성해서 개가 깨져 흘러서 왔어요 그 흔한 뽁뽁이도 안 감싸고 그냥 샴푸만 넣어오니 멀쩡할 리가 있겠습니까 포장에 신겨 써야 할 듯요,1,n,76
포장 뜯기고 안에 다 흘러왔습니다 찢기고 줄줄 흐르는 고대로 반품하려다 참습니다 박스를 좀 큰데 넣던 가 꼬다리를 테이프라도 붙여주셔야 죠 작은 박스에 우겨넣으니 거품 범벅에 정말 너무 하네요,1,n,106
샴푸개 린스개 주문했는데 샴푸개 린스개가 왔네요 그리고 세워서 포장을 해야지 눕혀서 포장을 했어 샴푸개가 뚜껑이 열려 내용물반 이상이 흘러서 왔네요 왕짜증 포장에 신경 좀 써세요,1,n,103
별로 안 좋아요 머리도 잘 빠 저요,1,n,16
별로 안 좋아요가 아도 안 되고 있어요,1,n,18
기능성 샴푸 사용으로 머리가 항상 엉켰는데도 브는 부드럽고 좋아요,1,n,34
배송 상태 완전 불량입니다 내용물이 새어 나와 상자에 덕지덕지 귀찮아서 반품은 안 하지만 포장에 신경 써주세요,1,n,58
배송도 느리고 상품도 창고에 얼마나 방치한 거 꺼내서 보냈는지 먼지 가득에 찌든 때가 안 지워질 정도록 심해요 새 제품을 받는 건데 기분이 안 좋네요 유통기한도 믿을 수가 없고 불쾌하네요,1,n,93
이게 배송인지 포장이 거지같이 한 건지 몰라도 싹 다분리되서 오고 배송도 진심거지 같네요 사진 올려보는 데 향은 좋은데 그냥 찝찝하네요별한 개도 아깝네요,1,n,80
재활용 박스 같은 부실한 박스에 내부 완충제도 부족해서 한통은 아래쪽이 찌그러져서 샴푸가 새어 나옵니다박스 포장에 문제가 많아 보입니다,1,n,75
주문한 제품이 아닌 다른 체품이 왔어요 교환하기 귀찮아서 그냥 쓰긴 하지만 이건 아니네요,1,n,50
배송 송장도 늦게 등록되고 늦게 옴,1,n,18
박스는 찢어져 있고 열어보니 뚜껑은 깨져 있네요 이미개봉된 상품 그대로 다시 보낸 듯 반품하기 귀찮아서 그냥 쓰는데 이래서 가격이 저렴했나 봅니다,1,n,76
사용하고 나면 안감은 머리 같은 느낌 머리카락 빠지는 건 비슷하고 저하고는 안 맞아서 반 정도 쓰다가 폐기,1,n,56
두피에 트러블이 올라와서 사용 중단했습니다 혹시 적응이 필요한 가해서 드문드문 사용해봤는데 계속 마찬가지네요,1,n,64
이틀 정도 썼는데 쓰자마자 비듬이 더 심해졌다는 게 확보이네요 일주일 더 써보고 똑같으면 쓰던 거 쓰려고요,1,n,61
상자에 스티커뗀 자국이 그대로 있어요 다른 후기에도 저처럼 반품된 거받으신 분계시네요사지 마세요,1,n,58
한번 써보려고 주문한 게 하필 펌프 불량이 왔네요 빙글 돌기만 하고 나오질 않아요,1,n,41
신랑비듬 때문에 샀는데 전혀 효과가 없습니다 더 생겨버린 듯 하네요 샴푸 거품만은 풍성합니다 재구매 의사입니다니 조랄만이 답이네요,1,n,73
쓰고 나면 머릿결 엄청 빳빳하고 이거 쓰고 머리카락 빠지기 시작한 게 눈에 보임 개 샀는데 전부 버릴 예정,1,n,58
아들이 이거 쓰고 두피가 간지럽고 붉게 올라오네요,1,n,27
포장이 영두 개 중 하나가 뚜껑 깨져서 왔네요,1,n,29
비듬에는 전혀 효과 없음과 대광고,1,n,20
사용해보니 별루인 거 같아요,1,n,15
비듬만 심해져 서버렸어요,1,n,13
상품 박스 개봉했는데 펌프 부분이 부러져 왔네요 새 걸 샀는데 헌것을 받은 느낌이네요,1,n,49
이거 쓰고 머리 각질이 더 늘었어요 예전엔 긁으면 나오던 각질이 이샴푸로 머리 감고 말리면 두피 여기저기에서 각질이 자동으로 올라와 있어요,1,n,76
비듬이 많이 썼는데 비듬 개선에 별로인데요,1,n,24
지금 한 통을 다 써가는데 어찌 각질이 더 나오고 있죠 큰 각질이 막 나오네요,1,n,40
파손되어 배송됨 그리고 배송 겁나 느림별 개도 아까움,1,n,31
비듬에 좋다고 하여 지금 주정도 사용 중인데요 딸도 저도 간지럼증 더 심해지고 비듬사라지 긴커녕 실패했어요 환불 해주세요비듬더 심해졌어요,1,n,86
거품도 풍부하고 향이 좋은데다 리뷰가 좋은 제품이라 구매 후에도 의심 없이 사용했는데요 제동생은 이샴푸쓰고 나서 미용실 가니까 미용사분께서 머리카락이 얇아졌다네요 무엇보다 저는 두피에 염증이 생겨서 간지럽고 아팠어요이 포타믹스 샴푸에 의심이 생겨서 다른 샴푸를 사용해봤더니 염증이 곧바로 진정되더라구요 이 제품 쓰고부터 두피 다 망가졌어요,1,n,195
탈모샴푸이거 저거 많이 써봤어요 다른 탈모샴푸 쓰다가 이거로 바꾸자마자 머리에 여드름 하나둘씩 올라오더니 오늘이 일째인데 머리카락이 얇아진 게 느껴지고 머리도 전보다 훨씬 많이 빠집니다 그리고 무엇보다 두피가 너무 가려워졌어요 여지껏 탈모샴푸 써본 게셀 수가 없는데 이런 적은 단 한 번도 없습니다 후기들도 믿을 수가 없네요,1,n,180
박스 뜯으니깐 많이 샜네요 냄새는 젛은데 아쉽네요,1,n,39
탈모에는 전혀 효과가 없는 것 같습니다,1,n,22
완전짜증머리가 더 빠짐 탈모 샴푸라고 하지 마세요 빨래용으로 쓰고 있습니다,1,n,37
시중에 파는 샴푸 쓰고 있었는데요 예방 샴푸라고 해서 사봤는데 머리카락 빠지는 정도는 똑같고 저녁에 앞머리 엄청 떡지고 두피에 여드름나고 저랑은 안 맞네요,1,n,84
사지 마세요 두 달째 뾰루지 그대로 임 내가 얼마나 돈을 아껴서 산 건데 아씨 다른 거사세요개열 받아,1,n,55
머리가 너무 건조해져서 엄청 빠져요 푸석해지고,1,n,31
케바케지만 저는 머리가 빠지네요 바로 사용 중단했습니다,1,n,30
"머릿속이 너무 가려워 요 거품은 충분히 많이 납니다 대신 세정력은 전혀 모르겠어요 머리를 감는데 시원하지 않아요 그전에 쓰던 게 비싼 게 아니었는데도 이럽니다 지금까지 샴푸를 많이 써봤지만 이런 경우는 처음이에요"" 지금 머리를 말리면서도 이걸 버려야 하나 고민 중입니다 분명 함유 원료가 좋은 거라고 해서 샀는데 이래서 더욱 의문입니다",1,n,197
아니 두피 민감형이라 더 마힐컨디셔닝 쓰다가 너무 비싸서 후기 보고 구매 헀는데 왜 후기가 많은지 모르겠어요 머리가 하루도 안 지났는데 간지러워서 미칠 거 같고요 이 정도로 제가 각질 많은 사람이 아닌데 심각하게 간지러움 거품이 많아서 세정 잘 되겠다 생각했던 제가 착각 쓰 암튼 간 저한텐별로 예요다시더 마힐로 갈아타려고요,1,n,196
거품이 풍부해 요작은 양으로도 많은 거품이나 죠 향이 개인적으로 마음에 들어요하지만 가장 중요한 세정력이 감고 얼마 있으면 떡지는 느낌 다음날 머리감으려고 보면 느낌뿐 아니라 떡져 있음 그리고 간지럽고 비듬인지 각질인지 생기고 참고로 저는 명절에 들어오는 샴푸라면 뭐든지 썼던 트러블 없던 사람입니다 아트리트먼트는 좋던 데 이거 샴푸는 개선이 필요하지 않을까요,1,n,214
올리브영에서 보라색 라인 사 서 써보고 괜찮은 거 같아서 구매해봤는데 머리가 너무 가려워 요가렵다 못해 따가워 요평소 피부 트러블 자체가 없는데 이렇게 가렵고 따가운 샴푸는 처음이에 요샴푸하면서도 가렵고 마르고 나서도 가렵고 두 번 쓰고 방치 중이에 요싸고 좋은 건 없다는 말이 맞는 듯,1,n,144
개인이 이렇게 많이 사는 건 드문 일이지만 서도 전화와 서 재판매도매하는 거 아니냐고 물어보는 것도 기분이 상당히 나쁘고요 이 정도 양이면 포장은 좀 해서 보내주시지 완충도 제대로 안 하고 보내주셨네요 다음부터 절대 안 삽니다,1,n,127
이제까지 사용 중 샴프 중 가장 속아서 산 느낌이 샴프 살 때 절 때 사용 리뷰보고 사지 마시길 머리를 감으면 머리카락이 뻣뻣해지고 잘 않겨진 느낌이고 그리고 왜 이렇게 미끌미끌해서 샴프를 하면 온몸 전체가 남자가 제일 싫어하는 끈적끈적한 미끌거림에 몇 번을 온몸 샤워를 해야 미끌거림이 없어 짐아 휴 정말 사용 후기와 네이버 랭킹에 속아 몇 병을 더 산걸 후회함 버리기도 그렇고 누구 주기도 그러니 아주 애물단지임,1,n,216
평이 좋아서 구매해봤는데 저랑은 맞지 않는 것 같아요 요즘 두피가 건조하고 비듬도 많아지고 간지러워서 바꾼 건데 냄새도 별로 고머리감으면서도 간지럽고 말리고 나서도 딱히 상쾌한 느낌은 없어요 이거쓴 후로 머리결도뻣뻣해졌어요,1,n,118
그냥 그래요 그냥 그래요 그냥 그렇네요,1,n,22
거품은 풍부한데 막향이 엄청 좋거나 부드럽거나 한 건 모르겠어요,1,n,37
택배 개봉했는데 보시다시피 펌핑하는 게 다 부러져서 왔네 요 택배사 쪽에서 잘못한 건지는 모르겠으나 기분은 좋지 않네요,1,n,64
오후가 되면 기름기 가 장난 아니에요,1,n,19
향이 좋다고 해서 주문했는데 좋은지 모르겠고 머리 결뻣뻣해져요,1,n,30
향도 좋고 거품도 적당한 데 왔을 때 펌프가 불량이라 뜯어서 다른 통에 옮겨 담았아요 제품 검수 좀 잘해주세요,1,n,62
향이 너무 강해서 한번 쓰고 질려버림지성 두피인데 세정력도 그닥 또다시 샴푸 유목 민생활 시작,1,n,56
리뷰보고 주문하고 실망하긴 처음입니다 푸석푸석개털처럼 빗질도 안 되는데 좋다니 쓰고 있는 제품이 좋다는 걸 깨우치게 하네요,1,n,56
세정력이 약한 것 같아요비듬 케어가 잘 안 되고 라벤더 향이 불호라서 냄새도 별로,1,n,50
달 쓰고 난 후 머리가 더 가늘어졌고 감고 난 후 머리 냄새가 더 나는 듯해요 기름지고 간지럽고 뾰루 지나 요건성 샴푸인 듯합니다,1,n,61
제품받자 말자 파손되서와서 기분 나쁨,1,n,22
전이거쓰다가 그냥 기존에 사용하던 샴푸 쓰고 있어요,1,n,28
아로마 샴푸 다른 브랜드로 바꿨어요,1,n,29
두피랑 안 맞는 건지 상처가 많이 생겼어요,1,n,21
대후반 노펌노 염색긴 머리입니다 피부 타입은 트러블 없고 건성에 가까운 피부입니다 사용회차에 머리가 너무 가렵고 따가워서 샴푸하는 도중에 그렇더라구 요 혹시 해서 다음날 다시 써봤는데 두피가 가렵고 아파요 사은 품 받으려고 몇 개나 샀는데 두 번 쓰고 못 쓰고 있어 요샴푸쓰다가 머리가 가렵고 아파서 사용 중단 한 건 이 샴푸가 첨이네요 보라색 라인썼을 때는 괜찮았는데 이 제품만 안 맞아요,1,n,201
저는 이거 쓰던 거 그대로 욕실에 방치,1,n,22
세정력은 생각만큼 효과나 차이를 못 느끼겠아요일랑 일랑향기도 저랑 안 맞구 요향은 선호의 문제고 두피에도 좋은지 딱히 모르겠어요 다만 펌핑이 너무 안 돼서 열받아서점 줍니다 사용 두 달가량 되어가는데 다른 샴푸랑 번갈아 쓰느라 정도 쓴 고 같은데 펌핑기고장인지 오늘은 샴푸가 암만 펌핑해도 아예 안 나옴 평소에도 가슴길이 머리인데 네다섯 번 펌핑해야 회샴푸용 나롤 정도로 너무 쥐콩씩 나와서 번거로운 데 이제 아예 안 나와서 막힌 것고엊는데 개빡쳐서 한 달 리뷰 씁니다 펌핑기를 따로 사야나큐엔에 이를 봐도 어째 그런 질문이 없는지,1,n,278
재구매했어요 잘 사용 중입니다 사춘기 소녀 분들에게 좋습니다,1,y,30
티트리가 모두에게 다 좋은 게 아니네 요이샴푸 두 번 썼는데 두피 특히 모낭염 심한 목 뒤쪽이 심하게 가렵고 따가웠습니다 모두에게 잘 맞는 게 아닌가 봐요,1,n,84
목에랑이마에 여드름 왕창나고 다른 샴푸로 갈아타니가라앉았네요,1,n,36
어디가 좋은 건지 모르겠어요 효과는 아직 없네어,1,n,25
생각보다 별로인 듯 하네요,1,n,14
맞는 사람한테는 좋을 것 같은데 저한테는 안 맞나 봐요 아쉬워요,1,n,31
펌프가 불량이에요,1,n,12
이거 쓰고 비듬 생겼습니다 유기농 제픔이라 자극 없을 거라 생각했는데 왜 이거만 쓰면 비든이 생기는지 모르겠네요 유기농 제품 치고 거품은 잘나요,1,n,85
비듬두피라 구매했는데 오히려 심해지고 비듬없던 부분까지 다 뒤집어졌어요 원래 비듬샴푸로 커버되던 정도가 더 악화되어서니 조랄까지 쓰게 됐어요 저랑 안 맞는 성분인가 봐요 가족들은 괜찮다고 합니당,1,n,110
화어플리뷰 보니저처럼 이거 쓰고 두피 뾰루 지나는 사람 많더라고 요 두 번 썼는데 두피에 뽀루지가 나서 리뷰 자세히 보니 하 성분이 좋아 가격 비싼 거이해하고 구매했는데 살다 살다 두피에 뽀루 지난 건 처음이네요 짜증나네요,1,n,113
아휴이 걸로만감으면 비듬천국 비듬 쩔어요 저만 그런 거 아니고 남편도 비듬 생기는 샴푸싼 것도 아닌데 돈 아까워요,1,n,77
두피염이 좀 있어서 구매 후 보름 정도 쓰다가 현재는 안 써요무슨 성분이 안 맞는 진 모르겠지만 두피염이 더 심해지고 귀 뒷쪽이나 목쪽에 염증이 더 발생합니다 그러니 자기한테 잘 맞는지 확인하고 구매하세요,1,n,112
두피 예민 한편인데 트러블 나서 이틀 정도 쓰고 안 써 요 저랑 안 맞네요,1,n,43
사은품 팩이 터 진 상태로 배송이 왔어요 샴푸는 멀쩡하다고 하나 샴푸 포장박스에다 묻어서 바로 버릴 수밖에 없었네요 선물용으로는 아닌 것 같습니다,1,n,85
너무 뻣뻣해지고 거품도 잘 안나요,1,n,20
개봉했던 상품 잘 받았습니다,1,n,16
제가 각질지 성두피인데 지성 두피 절대 쓰지 마세 요감아도 기름짐 두 번 쓰고 안 써요,1,n,44
지루성 두피염에 좋지는 않습니다더 심해진 거 같습니다,1,n,31
여드름 피부라 사용하니 목 뒤쪽 등쪽에 여드름이 좀 올라와 요 머리 결은 뻣뻣해져서 긴 머리 시머리 빠짐이 있습니다 사용하다 멈췄어요 천연 성분이외는 저에겐 별로 인 제품입니다,1,n,98
모르겟어 영덜덜,1,n,11
가려움 계속 가렵습니다,1,n,14
몇 십번을 펌핑해도 거품 하나도 안 나오고 머리카락 엄청 뻐뻣해져서 손가락도 안 들어가요향도 별로 안 좋고 다신 안 쓸래요 이런 샴푸 정말 처음이고 후회막심이네요 돈아까워,1,n,92
이 거리뷰 멀까요 이샴푸 순전히 리뷰보고 샀는데 쓰자마자 첫 느낌은 설겆이 할 때 기름 때 살짝 덜 빠진 느낌이었지만 그래도 좋다니 써보자해서 계속 썼는데 머리카락이 드라이가 잘 안 먹히고 퍼머컬이 탱글거리지 않고 힘없이 풀리는 느낌이라 나는 안 쓰고 있었는데 다른 식구들은 이샴푸를 쓰면서 머립뿌리 쪽이 가려워서 긁다가 피가 난다는 겁니다 한 사람만 그러면 샴푸 문제가 아니라고 생각되었겠지만 아빠와 딸이 서로 그 말을 하며 똑같은 증상을 호소하는 거 보고 두말 없이 쓰레기통에 넣었습니다 이거 성분이 제대로 인지 그리고 약초를 사용한다는데 청결하게 만들고 있는지 여러 가지로 의심되는 대목입니다그럼에도 불구하고 다른 모든 분들이 괜찮다면 그건 우리 식구들이 민감한 탓이겠지요 한 달 후기들을 올려주시길,1,n,381
펌프 실화입니까 나오지도 않고 하,1,n,24
샴푸 한 통 다쓰기 전에 샴푸액색이랑 향이 변했어요 샴푸했을 때 불쾌한 냄새가 나서버렸습니다,1,n,51
여기서 사고 나서 더 세일하는 곳이 있어서 아쉬웠어요 거품은 잘 생겨서 좋았는데 머리가 너무 가려워 요저한테는 안 맞는 것 같아요,1,n,74
택배 파업으로 한 달 만에 배송되었네요,1,n,20
택배도둑당 햇 어여,1,n,10
처음 개시켰는데 통이 내용물이 흘러내려 교환했어요 이번에 받았는데 다른 분 후기처럼 뽁뽁이는 두 번 다 쌓여주지 않았고 오늘도 두통은 쪼매씩 흘려내렸지만 그냥 넘어갑니다 하지만 한 통 양은 보기에도 차이가 많이 나서 기분이 상합니다 앞전에 교환신청한 샴푸가 많이 흘러서 의심이 드네요,1,n,144
트리트먼트랑 같이 주문했는데 트리트먼트 뚜껑이 깨져서 내용물이 다 나오고 난리가 났네요 어떻게 플라스틱 상품을 아무런 포장도 없이 달랑 박스에 그냥 보내나 요 이건 쓸 수도 없고 교환하려면 재포장해서 보내라는 데 뭘 포장하라는 건지,1,n,127
머리가 계속 너무 많이 빠져 요비 듬도 생기고 머리 냄새도 안 빠는 건 지금방 올라오는 건 지반도 못 썼는데 중단해야 될 거 같아 요뻣뻣해져서 트리트먼트 필수예요,1,n,86
아두피에 비듬 생기고 안 맞았어요 후 딱 다른 제품으로 바꿔 쓰는 중,1,n,37
